TAT_AA,TAT_VV,EDV_LV,EDP_LV,ESV_LV,pMax_LV,dpdtMax_LV,dpdtMin_LV,EDV_RV,EDP_RV,ESV_RV,pMax_RV,dpdtMax_RV,dpdtMin_RV,EDV_LA,ESV_LA,maxV_LA,maxP_LA,EDV_RA,ESV_RA,maxV_RA,maxP_RA
128.689,168.362,116.78,5.37,53.01,80.58,1078,-514,142.45,5.74,81.14,34.51,346,-183,165.94,131.41,184.44,4.69,175.1,111.92,181.04,7.67
126.19,207.254,120.38,5.57,82.98,120.69,1736,-780,115.16,2.71,80.71,25.12,425,-157,180.47,153.48,186.74,5.25,148.9,125.97,155.29,3.14
147.068,198.168,141.38,6.32,105.39,115.22,1781,-632,109.44,2.26,75.74,21.27,338,-119,189.35,165.84,196.49,6.54,149.36,131.57,152.1,2.26
136.957,192.205,180.88,11.26,106.3,122.7,1632,-674,135.45,5.5,84.72,31.5,491,-164,176.67,103.4,177.79,9.63,151.58,92.74,160.98,6.89
124.868,186.499,139.32,7.01,95.18,128.17,1722,-663,118.22,3.16,75.75,25.64,382,-124,189.16,147.96,190.46,6.28,143.29,117.48,152.76,3.93
135.724,181.42,136.01,4.09,72.26,90.5,1154,-543,150.38,3.85,90.77,37.74,582,-188,154.89,127.79,175.25,3.84,161.23,118.48,171.45,4.71
147.631,173.448,118.61,6.35,59.02,81.96,1393,-468,144.12,6.98,88.88,32.56,648,-163,157.18,133.57,173.63,3.12,172.26,127.53,176.91,5.39
148.174,197.176,120.84,7.36,80.34,106,1477,-690,143.37,4.69,105.69,27.23,413,-156,167.41,140.26,176.89,3.92,154.76,121.97,163.59,3.65
152.988,193.855,138.66,7.09,78.98,85.2,1108,-510,129.07,5.27,76.88,29.95,494,-165,160.23,137.38,179.26,3.91,170.34,129.34,176.68,4.25
138.054,180.838,149.41,5.18,111.69,97.99,1552,-572,108.68,2.6,75.93,26.53,474,-143,171.98,150.65,179.26,5,149.69,129.64,152.4,2.57
141.188,190.028,177.54,9.34,102.71,133.58,1090,-653,145.03,5.99,73.86,31.55,263,-116,135.04,134.75,134.75,12,122.59,98.81,98.81,7.54
125.612,193.157,166.65,12.81,87.74,111.28,1373,-607,130.33,5.85,84.49,27.1,373,-126,125.72,109.64,179.9,9.75,98.82,96.86,165.08,1.41
150.141,181.376,176.82,8.03,139.21,107.89,1442,-598,109.89,2.8,74.33,21.21,257,-109,205.29,161,205.12,7.62,145.13,118.94,151.27,3
152.81,188.762,164.89,7.04,100.89,76.87,921,-438,122.53,4.46,62.16,24.18,176,-98,177.15,144.86,198.74,6.02,166.37,124.05,169.98,4.77
